timestamp,activity
7/15/2015 0:58,A
7/15/2015 0:59,C
7/15/2015 0:59,A
7/15/2015 0:59,A
7/15/2015 1:00,E
7/15/2015 1:00,C
7/15/2015 1:00,B
7/15/2015 1:01,E
7/15/2015 1:02,C
7/15/2015 1:02,C
7/15/2015 1:03,E
7/15/2015 1:03,B
7/15/2015 1:03,A
7/15/2015 1:03,E
7/15/2015 1:04,A
7/15/2015 1:04,B
7/15/2015 1:05,B
7/15/2015 1:05,D
7/15/2015 1:05,C
7/15/2015 1:05,C
7/15/2015 1:06,E
7/15/2015 1:06,D
7/15/2015 1:06,E
7/15/2015 1:07,D
7/15/2015 1:08,B
7/15/2015 1:08,B
7/15/2015 1:10,B
7/15/2015 1:10,D
7/15/2015 1:12,D
