timestamp,activity
7/15/2015 9:37,A
7/15/2015 9:38,B
7/15/2015 9:39,A
7/15/2015 9:40,C
7/15/2015 9:40,B
7/15/2015 9:41,A
7/15/2015 9:41,E
7/15/2015 9:42,C
7/15/2015 9:42,B
7/15/2015 9:43,A
7/15/2015 9:43,E
7/15/2015 9:43,D
7/15/2015 9:44,B
7/15/2015 9:44,C
7/15/2015 9:45,B
7/15/2015 9:45,E
7/15/2015 9:45,A
7/15/2015 9:46,C
7/15/2015 9:46,B
7/15/2015 9:47,E
7/15/2015 9:47,D
7/15/2015 9:47,D
7/15/2015 9:48,D
7/15/2015 9:49,C
7/15/2015 9:50,E
7/15/2015 9:51,A
7/15/2015 9:52,D
7/15/2015 9:52,B
7/15/2015 9:54,D
7/15/2015 9:54,A
7/15/2015 9:55,C
7/15/2015 9:56,A
7/15/2015 9:56,E
7/15/2015 9:57,C
7/15/2015 9:58,E
7/15/2015 9:58,C
7/15/2015 9:59,A
7/15/2015 9:59,A
7/15/2015 9:59,E
7/15/2015 10:00,B
7/15/2015 10:00,C
7/15/2015 10:00,C
7/15/2015 10:01,E
7/15/2015 10:01,E
7/15/2015 10:01,C
7/15/2015 10:02,C
7/15/2015 10:02,E
7/15/2015 10:03,A
7/15/2015 10:03,E
7/15/2015 10:03,B
7/15/2015 10:03,B
7/15/2015 10:04,B
7/15/2015 10:04,B
7/15/2015 10:05,B
7/15/2015 10:05,C
7/15/2015 10:05,D
7/15/2015 10:06,C
7/15/2015 10:06,E
7/15/2015 10:06,A
7/15/2015 10:06,B
7/15/2015 10:07,E
7/15/2015 10:07,D
7/15/2015 10:07,B
7/15/2015 10:08,A
7/15/2015 10:08,B
7/15/2015 10:08,D
7/15/2015 10:09,D
7/15/2015 10:09,B
7/15/2015 10:09,A
7/15/2015 10:09,B
7/15/2015 10:10,B
7/15/2015 10:10,C
7/15/2015 10:11,C
7/15/2015 10:11,E
7/15/2015 10:11,B
7/15/2015 10:12,A
7/15/2015 10:12,E
7/15/2015 10:12,D
7/15/2015 10:13,B
7/15/2015 10:13,D
7/15/2015 10:13,D
7/15/2015 10:14,D
7/15/2015 10:15,B
7/15/2015 10:17,A
7/15/2015 10:17,B
7/15/2015 10:18,B
7/15/2015 10:19,C
7/15/2015 10:19,A
7/15/2015 10:19,A
7/15/2015 10:20,D
7/15/2015 10:20,E
7/15/2015 10:20,C
7/15/2015 10:20,B
7/15/2015 10:21,A
7/15/2015 10:21,E
7/15/2015 10:22,C
7/15/2015 10:22,C
7/15/2015 10:22,D
7/15/2015 10:22,A
7/15/2015 10:23,E
7/15/2015 10:23,E
